CID,Annotator,Sentence,Sno.,Preprocessed,Eno.,Source,Target,Belief,Event
4245,Magda,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan",1,"but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just Japan",1.1,A,solicit,true,although they solicit
4245,Magda,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan",1,"but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just Japan",1.2,A,solicit,true,"to solicit more throughout the, throughout the globe instead"
4245,Magda,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan",1,"but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just Japan",1.3,A,trying,true,"but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead"
4245,Magda,B: mhm.,2,mhm.,2.1,B,mhm,true,mhm.
4245,Magda,A: although they’ve had most interest in &Japan.,3,although they’ve had most interest in Japan.,3.1,A,interest,true,most interest
4245,Magda,B: mhm.,4,mhm.,4.1,B,mhm,true,mhm.
4245,Magda,A: And I teach probably two classes and then do administrative work to make connections for these people to have tours,5,And I teach probably two classes and then do administrative work to make connections for these people to have tours,5.1,A,make,true,to make connections for these people to have tours
4245,Magda,A: or to go look at companies dealing with certain issues that they’re working on in their classes. {breath} Half of their classes are business half are English Eng- English business,6,or to go look at companies dealing with certain issues that they’re working on in their classes. Half of their classes are business half are English English business,6.1,A,working,true,they’re working on in their classes
4245,Magda,B: mhm [distorted],7,mhm,7.1,B,mhm,true,mhm
4245,Magda,B: mhm.,8,mhm.,8.1,B,mhm,true,mhm.
4245,Magda,B: mhm.,9,mhm.,9.1,B,mhm,true,mhm.
4245,Magda,A: mhm,10,mhm,10.1,A,mhm,true,mhm
4245,Magda,B: (( )),11,, , , , , 
4245,Magda,A: So it’s really groovy because I ((mean)) I have all these contacts for them because of my experience in the business world here.,12,So it’s really groovy because I mean I have all these contacts for them because of my experience in the business world here.,12.1,A,have,true,because I mean I have all these contacts for them because of my experience in the business world here
4245,Magda,B: yeah. yeah.,13,yeah. yeah.,13.1,B,yeah,true,yeah.
4245,Magda,A: And you know and I do a little teaching for them too.,14,And you know and I do a little teaching for them too.,14.1,A,know,true,And you know
4245,Magda,A: And you know and I do a little teaching for them too.,14,And you know and I do a little teaching for them too.,14.2,A,do,true,And you know and I do a little teaching for them too.
4245,Magda,A: And you know and I do a little teaching for them too.,14,And you know and I do a little teaching for them too.,14.3,A,teaching,true,a little teaching
4245,Magda,B: okay. What classes did you teach at (( )) that would be related?,15,okay. What classes did you teach at that would be related?,15.1,B,teach,true,What classes did you teach at that would be
