CID,Annotator,Sentence,Sno.
4245,Magda,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan",1
4245,Magda,B: mhm.,2
4245,Magda,A: although they’ve had most interest in &Japan.,3
4245,Magda,B: mhm.,4
4245,Magda,A: And I teach probably two classes and then do administrative work to make connections for these people to have tours,5
4245,Magda,A: or to go look at companies dealing with certain issues that they’re working on in their classes. {breath} Half of their classes are business half are English Eng- English business,6
4245,Magda,B: mhm [distorted],7
4245,Magda,B: mhm.,8
4245,Magda,B: mhm.,9
4245,Magda,A: mhm,10
4245,Magda,B: (( )),11
4245,Magda,A: So it’s really groovy because I ((mean)) I have all these contacts for them because of my experience in the business world here.,12
4245,Magda,B: yeah. yeah.,13
4245,Magda,A: And you know and I do a little teaching for them too.,14
4245,Magda,B: okay. What classes did you teach at (( )) that would be related?,15
4245,Magda,"A: I taught, okay. I taught",16
4245,Magda,A: I taught business English.,17
4245,Magda,B: uh-huh.,18
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19
4245,Magda,B: okay.,20
4245,Magda,B: mhm. I’m just writing this down so I,21
4245,Magda,A: Cool.,22
4245,Magda,A: You don’t have to tell them about (( )) or anything. {breath} oh weird.,23
4245,Magda,B: {laugh},24
4245,Magda,A: You know what?,25
4245,Magda,B: What?,26
4245,Magda,"A: I had a dream this morning about,",27
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28
4245,Magda,B: %huh.,29
4245,Magda,A: But &Barry was definitely in it.,30
4245,Magda,B: yeah.,31
4245,Magda,A: And &Barry and I,32
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33
4245,Magda,B: {laugh},34
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35
4245,Magda,B: ((That’s a)) [distorted],36
4245,Magda,B: yeah. That’s a scary dream.,37
4245,Magda,A: It was pretty scary.,38
4245,Magda,B: yeah.,39
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41
4245,Magda,A: yeah.,42
4245,Magda,B: yeah.,43
4245,Magda,A: It was harder than I thought it would be actually.,44
4245,Magda,B: yeah.,45
4245,Magda,A: %um harder in the sense that %uh,46
4245,Magda,A: {lipsmack} {breath},47
4245,Magda,A: I wasn’t used to the pace,48
4245,Magda,A: it’s,49
4245,Magda,B: mhm.,50
4245,Magda,A: you know the pace is totally different.,51
4245,Magda,B: mhm.,52
4245,Magda,A: %um,53
4245,Magda,A: And,54
4245,Magda,A: I didn’t really want to see anybody for a while.,55
4245,Magda,"A: And I d-, and I didn’t, which was fine.",56
4245,Magda,A: And I really missed people,57
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58
4245,Magda,B: mhm.,59
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60
4245,Magda,B: mhm.,61
4245,Magda,A: %um readjusting as far as Americanisms,62
4245,Magda,B: mhm.,63
4245,Magda,A: %uh &Blimpie’s scared me.,64
4245,Magda,A: &Blimpie’s is the sandwich place (( )) {laugh},65
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66
4245,Magda,A: We went in there and it was so yellow.,67
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68
4245,Magda,B: %ah. [[groaning and drawn out]],69
4245,Magda,A: And it was,70
4245,Magda,B: %ah,71
4245,Magda,A: {laugh},72
4245,Magda,B: {laugh},73
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75
4245,Magda,B: (( )) [distorted],76
4245,Magda,B: oh my God.,77
4245,Magda,"B: like, I, I just like ran into stores and ran out because",78
4245,Magda,A: uh-huh.,79
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80
4245,Magda,A: Right.,81
4245,Magda,B: you know I had time off and %um,82
4245,Magda,A: uh-huh.,83
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84
4245,Magda,"A: i-, it’s just",85
4245,Magda,A: oh my God.,86
4245,Magda,B: It’s just very hard. I talked to &Kristen though when I was home.,87
4245,Magda,A: yeah?,88
4245,Magda,B: yeah. She seems to be doing well. She’s working,89
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90
4245,Magda,A: That’s good.,91
4245,Magda,B: %hm yeah.,92
4245,Magda,A: I’d like to be healthy again.,93
4245,Magda,B: yeah. I hope,94
4245,Magda,A: hey.,95
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96
4245,Magda,B: (( )) [distorted],97
4245,Magda,B: uh-huh.,98
4245,Magda,B: yeah.,99
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102
4245,Magda,"A: and his name wa-, his name is &Mark &Zalin-, Ya-, no, &Yalinsky. {breath} And it said, and it was",103
4245,Magda,A: and it was his email thing and it said U N I <Polish Lodz> &Poland.,104
4245,Magda,B: ((You told me)).,105
4245,Magda,A: And I’m like,106
4245,Magda,A: And it was a &Playboy joke on this thing. It was done as an example of what we do. [[last four words spoken with a laugh]],107
4245,Magda,B: {laugh},108
4245,Magda,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109
