Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: yeah so yeah I’ve been there like {laugh} five or six times 	I=B,there=national park?		1						yeah=agreement							
A: Wow.  			2						wow=amazement							
B: because I drove across the country three times. I’ve been there wait, yes three times I think.  	I=B		3.1	B has been in the national park like five or six times because B drove across the country three times	 → 3.5 CT-	 → 3.5 CT-	 → 3.5 RT	 → 3.5 PS	(because=self talk)	CT+ 3.1	CT+ 3.1	JA 3.1	JA 3.1			
			3.2	B has been in the national park like five or six times	 → 3.5 CT-	 → 3.5 CT-	 → 3.5 RT			CT+ 3.2	PS 3.2	JA 3.2	RT 3.2			
			3.3	B drove acress the country three times					wait=self correction	CT+ 3.3	CT+ 3.3	JA 3.3	JA 3.3			
			3.4	B thinks that B has been in the national park three times						CT+ 3.4	CT+ 3.4	JA 3.4	JA 3.4			
			3.5	B has been in the national park three times						PS 3.5,CT- 3.2,CT- 3.1	PS 3.5,CT- 3.2,CT- 3.1	JA 3.5,RT 3.2,RT 3.1	JA 3.5,RT 3.1			
A: Well this is our second time.  	our=A's and Kevin's		4	This is A's and Kevin's second time in the national park.  					well=transition marker	CT+ 4	CT+ 4	JA 4	JA 4			
B: yeah.  			5						yeah=sustaining conversation(backchannel)							
A: The first time we had been it was like twelve years ago &Kevin and I went on like a six week camping trip you know we hit -- 	Kevin=A'a husband?,I=A,we=A and Kevin,you=one		6.1	The first time Kevin and A had been in the national park was like twelve year ago					like=filler	CT+ 6.1	CT+ 6.1	JA 6.1	JA 6.1			
			6.2	Kevin and A went on like six week campin trip					you know=filler	CT+ 6.2	CT+ 6.2	JA 6.2	JA 6.2			
B: %uh that must have been fun.  	that=the six week camping trip		7	The camping trip must have been fun						CT+ 7	CT+ 7	JA 7	JA 7			
A: -- You know &Washington, we hit you know from &Idaho to &Washington we hit all kinds of national parks and stu- [distortion].  	we=A and Kevin,You=one		8	A and Kevin hit all kinds of national parks from Idaho to Washington						CT+ 8	CT+ 8	JA 8	JA 8			
B: uh-huh.  			9						uh-huh=agreement with 8.1							
B: oh yeah it’s so beautiful %huh.  	it=national park?		10	National parks are so beautiful.						CT+ 10	CT+ 10	JA 10	JA 10			
A: And you know 			11													
A: You know we spent a l- you know couple days in &Yellowstone and then 	we=A and Kevin,Yellowstone,You=one		12	Kevin and A spent a couple days in Yellowstone					you know=filler	CT+ 12	CT+ 12	JA 12	JA 12			
A: you know a very little time in &Grand &Tetons but we spent a lot of time in the national forests right around there because we (( )) [distorted] you know we were really camping and really serious-- 	there=Grand Tetons,we=A and Kevin		13.1	Kevin and A spent a little time in Grand Tetons						CT+ 13.1	CT+ 13.1	JA 13.1	JA 13.1			
			13.2	Kevin and A spent a lot of time in the forests right around Grand Tetons because Kevin and A were really camping and really serious						CT+ 13.2	CT+ 13.2	JA 13.2	JA 13.2			
			13.3	Kevin and A spent a lot of time in the forests right around Grand Tetons						CT+ 13.3	CT+ 13.3	JA 13.3	JA 13.3			
			13.4	Kevin and A were really camping and really serious						CT+ 13.4	CT+ 13.4	JA 13.4	JA 13.4			
B: uh-huh.  			14						uh-huh=filler							
B: mhm.  			15						mhm=filler							
A: And like we went into &Jackson, the town and we were like -- 	we=A and Kevin,town=Jackson		16	A and Kevin went into Jackson, the town						CT+ 16	CT+ 16	JA 16	JA 16			
A: -- %ah [[drawn out and in fright]] let me {laugh} out of here. You know it was like a traffic jam and all these stores and we sort of didn’t know what was coming. We were like oh my god traffic jams 	me=A and Kevin,we=A and Kevin		17.1	A and Kevin wanted to get out of Jackson					let me out of here=A and Kevin wanted to leave Jackson	CT+ 17.1	CT+ 17.1	JA 17.1	JA 17.1			
			17.2	A and Kevin got out of Jackson						CT- 17.2	CT- 17.2	RT 17.2	RT 17.2		want in past tense suggests that the embedded event did not happen	
			17.3	There was a traffic jam and stores in Jackson						CT+ 17.3	CT+ 17.3	JA 17.3	JA 17.3			
			17.4	A and Kevin didn't know what was coming					oh my god traffic jams=complaint about traffic jams	CT+ 17.4	CT+ 17.4	JA 17.4	JA 17.4			
			17.5	Something was coming						CT+ 17.5	CT+ 17.5	IN 17.5	IN 17.5		presupposed	
			17.6	A and Kevin complained about traffic jams						CT+ 17.6	CT+ 17.6	JA 17.6	JA 17.6			
B: {laugh} 			18						B laughs at 17.1, 17.3, 17.4, 17.6							
B: uh-huh.  			19						uh-huh=filler							
A: What kind of tourist hell is this? Get us out of here [[says laughing]].  	this=Jackson		20	Jackson is a kind of a tourist hell						CT+ 20	CT+ 20	IN 20	IN 20			
B: {laugh} 			21						B laughs at 20							
A: of course then we were like you know let’s stay here a couple days. [distortion]  	we=Kevin and A,here=Jackson		22	Kevin and A decided to stay in Jackson a couple of days					we were like=announcing a new event coming up; you know=assumption that B might know abnout the upcoming event; let's=decided	CT+ 22	CT+ 22	JA 22	JA 22			
B: {inhale} And now you guys have a five year old and 	you=Kevin and A		23	Kevind and A have a five year old 					now=presuppositon	CT+ 23	CT+ 23	IN 23	IN 23			
B: {laugh} yeah.  			24						yeah=filler							
A: This is kind of cute. oh look there’s the &Benneton outlet.  	This=Jackson,there=Jackson		25.1	Jackson is kind of cute.						CT+ 25.1	CT+ 25.1	JA 25.1	JA 25.1			
			25.2	There's the Bennton outlet in Jackson						CT+ 25.2	CT+ 25.2	JA 25.2	JA 25.2			
B: {sh} 			26													
B: oh you guys have really turned into yuppies, %huh? {laugh} 	you=Kevin and A		27	Kevin and A have really turned into yuppies						CT+ 27	CT+ 27	IN 27	IN 27		B seems to be stating something both speakers already believe	
A: Scary.  			28	27 is scary						CT+ 28	CT+ 28	JA 28	JA 28			
B: {laugh} {inhale} What we shouldn’t have a house in the suburbs.  	we=B and Norm		29.1	B and B's partner shouldn't have a house in the suburbs						CT+ 29.1	CT+ 29.1	JA 29.1	JA 29.1			
			29.2	B and B's partner have a house in the suburbs						CT- 29.2	CT- 29.2	RT 29.2	RT 29.2		should not in present tense negates the possibility of the embedded event beinng true (???)	
A: Well if I’m unemployed, if I’m unemployed I can’t be a {laugh} yuppie can I? 	I=A		30.1	A asks B if A can't be a yuppie if A is unemployed						CT+ 30.1	CT+ 30.1	JA 30.1	JA 30.1			
			30.2	A can't be a yuppie if A is unemployed		 → 33 PS	 → 33 JA	 → 33 CT+		PS 30.2	CT- 30.2	RT 30.2	RT 30.2		question tag, so PS got Bel: A; CT- for Bel: B because of 27	
			30.3	A can't be a yuppie						PS 30.3	CT- 30.3	RT 30.3	RT 30.3		CT- for Bel: B because of 27	
			30.4	A is unemployed						CT+ 30.4	CT+ 30.4	IN 30.4	IN 30.4			
B: {breath} 			31						indicates thinking about 30.2							
A: {inhale} Don’t I need to be professional? 	I=A		32.1	A asks if A needs to be a professional to be a yuppie						CT+ 32.1	CT+ 32.1	JA 32.1	JA 32.1			
			32.2	A needs to be a professional to be a yuppie			 → 33 JA			PS 32.2	NB 32.2					
			32.3	A is a yuppie		 → 33 PS		 → 33 CT+		CT- 32.3	CT+ 32.3				Bel: B CT+ because of 27; Bel: A implied from the question	
B: %um. yeah I guess.  	I=B		33						yeah I guess=expressing some belief about 30.2		PS 32.3,PS 30.2	JA 32.2,JA 30.2	JA 32.3,JA 30.2			
B: Well &Norm and I are worse because we live in the suburbs.  	I=B,we=Norm and B		34.1	Norm and B are worse because Norm and B live in the suburbs						CT+ 34.1	CT+ 34.1	JA 34.1	JA 34.1			
			34.2	Norm and B are worse					Norm and B are in a worse situation (???)	CT+ 34.2	CT+ 34.2	JA 34.2	JA 34.2			
			34.3	Norm and B live in the suburbs						CT+ 34.3	CT+ 34.3	JA 34.3	JA 34.3			
B: %uh so.  			35													
A: Well really silly we’ll save that for our self respects. So are you coming or not? Are you coming or not? Are you coming or not? [[drawn-out whining]] 	that=A and Kevin can't be yuppies,we=A and Kevin,you=B		36.1	Kevin and A will save A's impossibility of being a yuppie for Kevin's and A's self respect						CT+ 36.1	CT+ 36.1	JA 36.1	JA 36.1			
			36.2	A asks B if B is coming to visit A and Kevin or not						CT+ 36.2	CT+ 36.2	JA 36.2	JA 36.2			
			36.3	B is coming to visit A and Kevin						PS 36.3	PS 36.3	JA 36.3	JA 36.3			
			36.4	B is not coming to visit A and Kevin						PS 36.4	PS 36.4	JA 36.4	JA 36.4		based on B's answer in 37.1	
B: I don’t know. It’s up to my husband. Hopefully he’ll finish soon and %uh -- 	I=B,It=B's coming,husband=Norm,he=Norm		37.1	B doesn't know if B is coming to visit A and Kevin						CT+ 37.1	CT+ 37.1	JA 37.1	JA 37.1		events embedded under 'don't know' will always be PS?	
			37.2	B's coming is up to Norm			 → 40 IN	 → 40 CT-		CT+ 37.2	CT+ 37.2	JA 37.2	JA 37.2			
			37.3	Norm will hopefully finish soon		 → 39.3 CT-				CT- 37.3	CT+ 37.3	RT 37.3	RT 37.3		In 39.1 A discloses A's CT- belief about 37.3	
B: -- and %um  			38													
A: I thought you said he was finished.  	I=A,you=B,he=Norm		39.1	A thought B said Norm was finished						CT+ 39.1	CT+ 39.1	JA 39.1	JA 39.1			
			39.2	B said Norm was finished						PS 39.2	CT+ 39.2	 39.2	 39.2		Bel:B CT+ from B's response in 43; Bel:A is PS because 39.2 is embedded under 'think'	
			39.3	Norm was finished	 → 41 CT+		 → 41 JA	 → 41 CT+		PS 39.3	CT+ 39.3,CT- 37.3	 39.3	 39.3		Bel:A PS because embedded under 'said'; this is hard-- we need to talk about CG updates. IMO 39.2 and 39.2 were already IN, but now A expresses some doubts -- at the moment we have no way to describe the status of their CG -- should be someting like re-enterntaining an event	
B: You know I mean  			40									IN 37.2	IN 37.2		B communicates that A should know about 37.2 already	
B: yeah he is finished.  			41							CT+ 39.3		JA 39.3	JA 39.3			
A: I thought you said he did send it today.  	I=A,he=Norm,you=B,it=Norm's thesis?		42.1	A thought B said Norm did send Norm's thesis today						CT+ 42.1	CT+ 42.1	JA 42.1	JA 42.1			
			42.2	B said Norm did send Norm's thesis today						PS 42.2	CT+ 42.2				event ebedded under 'think' -- expresses some doubt for Bel: A; Bel: B is sure of what B said -- confrmation in 43.1, so CT+	
			42.3	Norm did send Norm's thesis today						PS 42.3	CT+ 42.3				same reasoning as above for Bel; for CG --blank for the moment	
B: He is finished. He just has to defend.  	He=Norm		43.1	Norm is finished with Norm's thesis						CT+ 43.1	CT+ 43.1	IN 43.1	IN 43.1			
			43.2	Norm just has to defend Norm's thesis						CT+ 43.2	CT+ 43.2	JA 43.2	JA 43.2			
B: So I don’t know. We’ll see what happens. I’ll talk to him today. He has a job so.  If not when are you guys moving? 	We=B and Norm,I=B,him=Norm,He=Norm,you=A and Kevin		44.1	B doesn't know if B is coming to visit A and Kevin because Norm still has to defend Norm's thesis						CT+ 44.1	CT+ 44.1	JA 44.1	JA 44.1			
			44.2	B and Norm will see what happens						CT+ 44.2	CT+ 44.2	JA 44.2	JA 44.2		maybe we also want: 'Something will happen' event?	
			44.3	B will talk to Norm today						CT+ 44.3	CT+ 44.3	JA 44.3	JA 44.3			
			44.4	Norm has a job					so=B indicates that 44.4 is known and this is the reason why she cannot talk to him now(??)	CT+ 44.4	CT+ 44.4	IN 44.4	IN 44.4			
			44.5	B asks A when A and Kevin are moving					if not=unfinished sentence	CT+ 44.5	CT+ 44.5	JA 44.5	JA 44.5			
			44.6	A and Kevin are moving						CT+ 44.6	CT+ 44.6	IN 44.6	IN 44.6			
A: We’re not moving for a year.  	We=Kevin and A		45	Kevin and A are not moving for a year						CT+ 45	CT+ 45	JA 45	JA 45			
