Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: So tell me a little bit about the day she was born. When did you first see her? 	me=B,you=A,her=Mae's,she=Mae		1.1	B asks A to tell B a little bit about the day Mae was born					request,request	CT+ 1.1	CT+ 1.1	JA 1.1	JA 1.1			
			1.2	A tells B a little bit about the day Mae was born							PS 1.2			C	I need to think more how to annotate requests based on your guys feedback	
			1.3	Mae was born						CT+ 1.3	CT+ 1.3	IN 1.3	IN 1.3	C	presupposed	
			1.4	B asks A when did A first saw Mae						CT+ 1.4	CT+ 1.4	JA 1.4	JA 1.4			
			1.5	A first saw Mae somewhere						CT+ 1.5	CT+ 1.5	IN 1.5	IN 1.5			
A: %um what happened is we went to the hospital, she was induced.  	she=Mae,we=A and Robert		2.1	A and Robert went to the hospital						CT+ 2.1	CT+ 2.1	JA 2.1	JA 2.1			
			2.2	Mae was induced						CT+ 2.2	CT+ 2.2	JA 2.2	JA 2.2			
B: mhm.  			3						mhm=B acknowledges 2.2							
A: So we get a phone call and th-, she was supposed to  	she=Mae's birth mom,we=A and Robert		4	A and Robert got a phone call						CT+ 4	CT+ 4	JA 4	JA 4			
B: Right finally.  			5						right finally= suggests that event 4 was something A and A's partner had been waiting for 							
A: %um the birth mom was supposed to go in at %um, it’s my thinking that this will be distributed publicly.  	my=A'a,that=the time of Mae's birth mom delivery ?		6.1	Mae's birth mom was supposed to go into labor at some specific time					go in=go into labor	CT+ 6.1	CT+ 6.1	JA 6.1	JA 6.1			
			6.2	Mae's birth mom went into labor at some specific time						CT- 6.2	CT- 6.2	RT 6.2	RT 6.2	LI	embedded under 'supposed', which indicates that the event didnot actually happen as planned	
			6.3	A thought that the time Mae's birth mom was supposed to go to labor would be distributed publicly						CT+ 6.3	CT+ 6.3	JA 6.3	JA 6.3			
			6.4	The time Mae's birth mom was supposed to go to labor would be distributed publicly						PS 6.4	NB 6.4	RT 6.4	RT 6.4	WK	??? I think B has no belief about 6.4, and B's response in 7 refers back to 6.3	
B: Right.  			7						right=B acknowledges 6.3							
A: at %um six thirty in the morning but she called and they didn’t have any beds.  	she=Mae's birth mom,they=hospital		8.1	Mae's birth mom was supposed to go into labor at six thirty in the morning but Mae's birth mom called and the hospital didn't have any beds						CT+ 8.1	CT+ 8.1	JA 8.1	JA 8.1			
