Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: %um I took them to %uh &Jill’s and they spent two days there and I guess she couldn’t take them and their mom and dad came.  			1.1	B took the kids to Jill's						CT+ 1.1	CT+ 1.1	JA 1.1	JA 1.1			
			1.2	The kids spent two days at Jill's						CT+ 1.2	CT+ 1.2	JA 1.2	JA 1.2			
			1.3	B guesses Jill couldn't take the kids						CT+ 1.3	CT+ 1.3	JA 1.3	JA 1.3			
			1.4	Jill couldn't take the kids						PS 1.4	PS 1.4	JA 1.4	JA 1.4			
			1.5	The kid's mom and dad came						CT+ 1.5	CT+ 1.5	JA 1.5	JA 1.5			
A: You mean at te- in &Texas? 			2.1	A asks B if B took the kids to Texas						CT+ 2.1	CT+ 2.1	JA 2.1	JA 2.1			
			2.2	B took the kids to Texas	 → 3 CT+		 → 3 JA	 → 3 CT+		PS 2.2	CT+ 2.2	JA 2.2	JA 2.2			
B: yeah.  			3							CT+ 2.2		JA 2.2	JA 2.2			
B: And their mom and dad drove down there and got them.  			4.1	The kids' mom and dad drove down to Texas						CT+ 4.1	CT+ 4.1	JA 4.1	JA 4.1			
			4.2	The kids' mom and dad got the kids from Texas						CT+ 4.2	CT+ 4.2	JA 4.2	JA 4.2			
A: mhm [distorted] 			5													
A: Got them.  			6						repetition							
B: yeah.  			7													
A: So how are they getting back? Driving them 			8.1	A asks B how are the kids getting back						CT+ 8.1	CT+ 8.1	JA 8.1	JA 8.1			
			8.2	The kids are getting back						CT+ 8.2	CT+ 8.2	IN 8.2	IN 8.2			
B: t- driving them back.  			9	The kid's mom and dad are driving the kids back						CT+ 9	CT+ 9	JA 9	JA 9			
A: oh.  			10													
A: Darn it. I thought I was going to get to see everybody.  			11.1	A thought B was going to get to see everybody						CT+ 11.1	CT+ 11.1	JA 11.1	JA 11.1			
			11.2	B was going to get to see everybody						PS 11.2	PS 11.2					
			11.3	B got to see everybody						CT- 11.3	CT- 11.3	RT 11.3	RT 11.3			
B: Well they was w- 			12						unfinished utterance							
B: They was supposed to do no %um 			13						unfinished utterance							
B: come back like a while ago but &Jill like she keeps farting around and won’t want to go get them and 			14.1	The kids were supposed to come back a while ago but Jill keeps farting around and won't want to get the kids						CT+ 14.1	CT+ 14.1	JA 14.1	JA 14.1			
			14.2	The kids were supposed to come back a while ago						CT+ 14.2	CT+ 14.2	JA 14.2	JA 14.2			
			14.3	Jill kept farting around						CT+ 14.3	CT+ 14.3	JA 14.3	JA 14.3			
			14.4	Jill wouldn't want to get the kids						CT+ 14.4	CT+ 14.4	JA 14.4	JA 14.4			
			14.5	Jill got the kids						CT- 14.5	CT- 14.5	RT 14.5	RT 14.5			
A: %mm. [channel noise] 			15													
B: So I said and then she j- 			16						unfinished utterance							
A: Did she have her baby yet? 			17.1	A asks B if Jill had her baby yet						CT+ 17.1	CT+ 17.1	JA 17.1	JA 17.1			
			17.2	Jill had her baby yet	 → 18 CT+		 → 18 JA	 → 18 CT+		NB 17.2	CT+ 17.2					
B: yeah. She had a girl.  			18	Jill had a girl						CT+ 17.2,CT+ 18	CT+ 18	JA 17.2,JA 18	JA 17.2,JA 18			
A: %mm.  			19													
B: Six pounds or something like that. I don’t know.  			20.1	Jill's baby weighed six pounds or something like that	 → 20.2 PS	 → 20.2 PS	 → 20.2 JA	 → 20.2 CT+		CT+ 20.1	CT+ 20.1	JA 20.1	JA 20.1			
			20.2	B doesn't know if Jill's baby weighed six pounds 						CT+ 20.2,PS 20.1	CT+ 20.2,PS 20.1	JA 20.2,JA 20.1	JA 20.2,JA 20.1			
B: hey ain’t my concern.  			21	Whether Jill's baby weighed six pounds ain't B's concern						CT+ 21	CT+ 21	JA 21	JA 21			
A: Good. Good for you.  			22	It's good for B that Jill's  baby weight is not B's concern						CT+ 22	CT+ 22	JA 22	JA 22			
A: So you’ve been leading the life of &Reilly %huh? 			23.1	A asks B if B has been leading the llife of Reily						CT+ 23.1	CT+ 23.1	JA 23.1	JA 23.1			
			23.2	B has been leading the llife of Reily	 → 24.1 CT-		 → 24.1 RT	 → 24.1 PS		PS 23.2	CT- 23.2					
B: No. Not really. Just I haven’t been home much this summer and w- 			24.1	B has not been leading the llife of Reily						CT- 23.2,CT+ 24.1	CT+ 24.1	RT 23.2,JA 24.1	RT 23.2,JA 24.1			
			24.2	Just B hasn't been home much this summer						CT+ 24.2	CT+ 24.2	JA 24.2	JA 24.2			
A: And busier than hell %huh? 			25.1	A asks B if B was busier than hell this summer						CT+ 25.1	CT+ 25.1	JA 25.1	JA 25.1			
			25.2	B was busier than hell this summer						PS 25.2						
B: %hm? 			26						B did not understand 25.2							
A: Then good then.  			27													
A: Give you a nice break.  			28.1	Not being home much this summer gave B a nice break						CT+ 28.1	CT+ 28.1	JA 28.1	JA 28.1			
			28.2	B had a nice break this summer	 → 29.1 CT-		 → 29.1 RT			CT+ 28.2	CT- 28.2	IN 28.2	RT 28.2			
B: Well no. I missed the hell out of them.  			29.1	B didn't have a nice break this summer						CT+ 29.1,CT- 28.2	CT+ 29.1	JA 29.1,RT 28.2	JA 29.1			
			29.2	B missed the hell out of the kids	 → 34 CT+		 → 34 JA	 → 34 CT+		PS 29.2	CT+ 29.2	JA 29.2	JA 29.2			
A: Do you? {laugh} 			30	A asks B if B missed the hell out of the kids						CT+ 30	CT+ 30	JA 30	JA 30			
B: I was ready to 			31						unfinished utterance							
A: That’s good.  			32													
B: I was ready that’s a 			33						unfinished utterance							
A: Go get them.  			34	B was ready to go get the kids						CT+ 29.2,CT+ 34	CT+ 34	JA 29.2,JA 34	JA 29.2,JA 34			
B: yeah. I was w- 			35						unfinished utterance							
B: It’s just that %uh 			36						unfinished utterance							
B: You know I was gone 			37.1	A knows B was gone						CT+ 37.1	CT+ 37.1	JA 37.1	JA 37.1			
			37.2	B was gone						CT+ 37.2	CT+ 37.2	IN 37.2	IN 37.2			
A: What kind of car do you have? 			38.1	A asks B what kind of car B has		 → 40 CT+	 → 40 JA	 → 40 CT+		CT+ 38.1	 38.1	 38.1				
			38.2	B has a car		 → 40 CT+		 → 40 CT-		CT+ 38.2		IN 38.2				
B: %huh? 			39													
A: What kind of car do you have now? 			40	 							CT+ 38.1,CT+ 38.2	JA 38.1	JA 38.1,IN 38.2			
B: Same car.  			41	B has the same car	 → 42.1 PS		 → 42.1 JA	 → 42.1 CT+		CT+ 41	CT+ 41	JA 41	JA 41			
A: oh. really? You got that thing repaired? 			42.1	A asks B if B really has the same car						CT+ 42.1,PS 41	CT+ 42.1	JA 42.1,JA 41	JA 42.1,JA 41			
			42.2	A asks B if B got B's car repaired						CT+ 42.2	CT+ 42.2	JA 42.2	JA 42.2			
