sno,eno,belief_A,belief_B,belief_Q,cg_A,cg_B,order,question,answer,context_type,cid,annotator
1,1.1,CT+,CT+,CT-,JA,JA,1,"Does A believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,1,"Does A believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,1,"Does A believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,CT-,JA,JA,1,"Does B believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,1,"Does B believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,1,"Does B believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,CT-,JA,JA,2,"Does A believe that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,2,"Does A believe that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,2,"Does A believe that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,CT-,JA,JA,2,"Does B believe that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,2,"Does B believe that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,2,"Does B believe that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
